time,tavg
2022-01-01,9.3
2022-01-02,8.7
2022-01-03,-2.3
2022-01-04,-3.2
2022-01-05,2.6
2022-01-06,1.1
2022-01-07,-1.6
2022-01-08,-6.4
2022-01-09,1.1
2022-01-10,-2.5
2022-01-11,-7.6
2022-01-12,-1.6
2022-01-13,0.7
2022-01-14,0.9
2022-01-15,-8.6
2022-01-16,-4.8
2022-01-17,3.4
2022-01-18,-1.4
2022-01-19,1.9
2022-01-20,-0.5
2022-01-21,-9.1
2022-01-22,-6.9
2022-01-23,-2.4
2022-01-24,-2.2
2022-01-25,0.9
2022-01-26,-6.0
2022-01-27,-4.9
2022-01-28,-1.6
2022-01-29,-9.2
2022-01-30,-10.7
2022-01-31,-11.1
2022-02-01,-3.6
2022-02-02,3.7
2022-02-03,6.5
2022-02-04,4.8
2022-02-05,-3.1
2022-02-06,-3.1
2022-02-07,1.9
2022-02-08,3.6
2022-02-09,2.7
2022-02-10,7.0
2022-02-11,7.9
2022-02-12,10.6
2022-02-13,0.9
2022-02-14,-4.4
2022-02-15,-3.7
2022-02-16,2.7
2022-02-17,12.7
2022-02-18,7.5
2022-02-19,-0.1
2022-02-20,-1.4
2022-02-21,4.9
2022-02-22,8.5
2022-02-23,13.4
2022-02-24,0.7
2022-02-25,1.3
2022-02-26,-0.5
2022-02-27,3.1
2022-02-28,0.9
2022-03-01,4.0
2022-03-02,7.5
2022-03-03,4.3
2022-03-04,-0.8
2022-03-05,3.7
2022-03-06,12.0
2022-03-07,17.4
2022-03-08,6.9
2022-03-09,3.1
2022-03-10,4.6
2022-03-11,6.8
2022-03-12,2.5
2022-03-13,-3.5
2022-03-14,6.4
2022-03-15,11.5
2022-03-16,12.5
2022-03-17,9.1
2022-03-18,12.8
2022-03-19,13.6
2022-03-20,11.8
2022-03-21,11.4
2022-03-22,11.1
2022-03-23,6.4
2022-03-24,6.0
2022-03-25,9.7
2022-03-26,9.2
2022-03-27,4.7
2022-03-28,-1.4
2022-03-29,-0.0
2022-03-30,1.3
2022-03-31,12.7
2022-04-01,10.7
2022-04-02,5.2
2022-04-03,5.3
2022-04-04,6.9
2022-04-05,6.5
2022-04-06,8.4
2022-04-07,9.0
2022-04-08,12.8
2022-04-09,10.1
2022-04-10,8.3
2022-04-11,9.4
2022-04-12,14.0
2022-04-13,14.9
2022-04-14,19.7
2022-04-15,15.0
2022-04-16,14.4
2022-04-17,8.3
2022-04-18,7.6
2022-04-19,7.4
2022-04-20,10.2
2022-04-21,10.7
2022-04-22,15.5
2022-04-23,13.2
2022-04-24,12.4
2022-04-25,10.9
2022-04-26,12.4
2022-04-27,10.8
2022-04-28,9.3
2022-04-29,11.5
2022-04-30,13.0
2022-05-01,13.4
2022-05-02,12.0
2022-05-03,12.9
2022-05-04,12.7
2022-05-05,16.9
2022-05-06,12.8
2022-05-07,9.3
2022-05-08,11.0
2022-05-09,14.4
2022-05-10,15.9
2022-05-11,16.1
2022-05-12,16.6
2022-05-13,16.4
2022-05-14,16.4
2022-05-15,18.1
2022-05-16,19.5
2022-05-17,19.0
2022-05-18,17.5
2022-05-19,14.8
2022-05-20,16.4
2022-05-21,23.0
2022-05-22,26.0
2022-05-23,20.2
2022-05-24,16.8
2022-05-25,15.7
2022-05-26,16.8
2022-05-27,20.1
2022-05-28,20.4
2022-05-29,20.8
2022-05-30,23.3
2022-05-31,27.3
2022-06-01,17.8
2022-06-02,19.9
2022-06-03,20.1
2022-06-04,20.2
2022-06-05,20.5
2022-06-06,21.8
2022-06-07,20.6
2022-06-08,23.7
2022-06-09,23.5
2022-06-10,21.9
2022-06-11,21.5
2022-06-12,19.6
2022-06-13,24.0
2022-06-14,23.7
2022-06-15,22.4
2022-06-16,19.7
2022-06-17,25.7
2022-06-18,18.9
2022-06-19,17.4
2022-06-20,19.6
2022-06-21,19.8
2022-06-22,18.6
2022-06-23,19.1
2022-06-24,19.9
2022-06-25,23.7
2022-06-26,24.3
2022-06-27,23.3
2022-06-28,21.8
2022-06-29,22.6
2022-06-30,25.5
2022-07-01,26.9
2022-07-02,27.0
2022-07-03,26.4
2022-07-04,24.6
2022-07-05,24.2
2022-07-06,26.4
2022-07-07,24.1
2022-07-08,22.9
2022-07-09,24.7
2022-07-10,23.4
2022-07-11,23.0
2022-07-12,25.8
2022-07-13,27.2
2022-07-14,26.9
2022-07-15,25.4
2022-07-16,24.4
2022-07-17,25.3
2022-07-18,26.3
2022-07-19,28.2
2022-07-20,29.5
2022-07-21,29.3
2022-07-22,29.3
2022-07-23,29.7
2022-07-24,30.3
2022-07-25,27.7
2022-07-26,25.4
2022-07-27,25.5
2022-07-28,26.3
2022-07-29,26.3
2022-07-30,26.4
2022-07-31,24.2
2022-08-01,23.0
2022-08-02,26.3
2022-08-03,25.3
2022-08-04,27.0
2022-08-05,27.1
2022-08-06,27.8
2022-08-07,28.2
2022-08-08,29.1
2022-08-09,30.4
2022-08-10,27.1
2022-08-11,26.2
2022-08-12,24.8
2022-08-13,22.2
2022-08-14,21.9
2022-08-15,22.3
2022-08-16,22.5
2022-08-17,22.6
2022-08-18,23.6
2022-08-19,24.5
2022-08-20,25.2
2022-08-21,24.1
2022-08-22,22.7
2022-08-23,23.3
2022-08-24,24.7
2022-08-25,25.1
2022-08-26,25.1
2022-08-27,24.6
2022-08-28,23.9
2022-08-29,24.6
2022-08-30,24.9
2022-08-31,24.5
2022-09-01,24.1
2022-09-02,20.3
2022-09-03,21.9
2022-09-04,24.2
2022-09-05,23.6
2022-09-06,21.8
2022-09-07,20.4
2022-09-08,20.4
2022-09-09,20.1
2022-09-10,21.0
2022-09-11,20.4
2022-09-12,22.9
2022-09-13,22.4
2022-09-14,20.5
2022-09-15,18.7
2022-09-16,17.5
2022-09-17,19.5
2022-09-18,22.3
2022-09-19,22.9
2022-09-20,21.4
2022-09-21,20.2
2022-09-22,19.5
2022-09-23,13.1
2022-09-24,14.2
2022-09-25,17.7
2022-09-26,18.0
2022-09-27,16.9
2022-09-28,15.5
2022-09-29,14.9
2022-09-30,13.9
2022-10-01,14.0
2022-10-02,13.5
2022-10-03,10.3
2022-10-04,10.9
2022-10-05,14.0
2022-10-06,15.8
2022-10-07,17.0
2022-10-08,12.0
2022-10-09,10.8
2022-10-10,12.7
2022-10-11,13.0
2022-10-12,14.2
2022-10-13,17.2
2022-10-14,14.4
2022-10-15,13.3
2022-10-16,12.9
2022-10-17,14.7
2022-10-18,10.4
2022-10-19,8.2
2022-10-20,9.5
2022-10-21,10.5
2022-10-22,11.4
2022-10-23,12.5
2022-10-24,14.3
2022-10-25,17.3
2022-10-26,17.7
2022-10-27,13.8
2022-10-28,9.4
2022-10-29,8.9
2022-10-30,9.8
2022-10-31,13.6
2022-11-01,15.4
2022-11-02,14.4
2022-11-03,11.8
2022-11-04,13.4
2022-11-05,17.5
2022-11-06,19.1
2022-11-07,18.6
2022-11-08,9.8
2022-11-09,7.1
2022-11-10,11.4
2022-11-11,15.9
2022-11-12,18.0
2022-11-13,9.9
2022-11-14,4.7
2022-11-15,4.9
2022-11-16,7.6
2022-11-17,3.7
2022-11-18,2.8
2022-11-19,1.4
2022-11-20,0.2
2022-11-21,0.3
2022-11-22,4.3
2022-11-23,5.4
2022-11-24,5.5
2022-11-25,7.3
2022-11-26,6.8
2022-11-27,9.2
2022-11-28,8.9
2022-11-29,3.4
2022-11-30,8.6
2022-12-01,2.4
2022-12-02,1.7
2022-12-03,9.8
2022-12-04,3.5
2022-12-05,2.3
2022-12-06,8.8
2022-12-07,12.1
2022-12-08,8.1
2022-12-09,2.8
2022-12-10,1.4
2022-12-11,3.1
2022-12-12,0.7
2022-12-13,-1.4
2022-12-14,-0.0
2022-12-15,2.2
2022-12-16,5.0
2022-12-17,3.1
2022-12-18,0.2
2022-12-19,-0.3
2022-12-20,-0.6
2022-12-21,-0.9
2022-12-22,3.7
2022-12-23,2.0
2022-12-24,-10.5
2022-12-25,-6.1
2022-12-26,-4.6
2022-12-27,-2.0
2022-12-28,0.6
2022-12-29,2.2
2022-12-30,5.2
2022-12-31,8.3
2023-01-01,7.7
2023-01-02,7.1
2023-01-03,9.8
2023-01-04,12.6
2023-01-05,10.5
2023-01-06,5.5
2023-01-07,3.0
2023-01-08,0.4
2023-01-09,2.8
2023-01-10,2.3
2023-01-11,0.5
2023-01-12,6.0
2023-01-13,8.3
2023-01-14,0.7
2023-01-15,0.3
2023-01-16,1.0
2023-01-17,2.1
2023-01-18,6.0
2023-01-19,3.9
2023-01-20,5.3
2023-01-21,2.1
2023-01-22,1.8
2023-01-23,2.4
2023-01-24,1.5
2023-01-25,2.7
2023-01-26,6.4
2023-01-27,1.4
2023-01-28,5.2
2023-01-29,7.8
2023-01-30,7.9
2023-01-31,3.4
2023-02-01,0.9
2023-02-02,1.5
2023-02-03,-3.7
2023-02-04,-8.3
2023-02-05,3.3
2023-02-06,6.1
2023-02-07,2.7
2023-02-08,7.4
2023-02-09,7.5
2023-02-10,12.2
2023-02-11,5.5
2023-02-12,4.8
2023-02-13,8.7
2023-02-14,8.5
2023-02-15,12.0
2023-02-16,12.9
2023-02-17,9.1
2023-02-18,2.3
2023-02-19,5.3
2023-02-20,10.0
2023-02-21,5.6
2023-02-22,4.3
2023-02-23,4.4
2023-02-24,4.4
2023-02-25,-1.8
2023-02-26,3.5
2023-02-27,3.3
2023-02-28,1.9
2023-03-01,4.4
2023-03-02,6.6
2023-03-03,4.8
2023-03-04,5.5
2023-03-05,7.1
2023-03-06,7.9
2023-03-07,4.4
2023-03-08,4.0
2023-03-09,5.6
2023-03-10,4.9
2023-03-11,4.4
2023-03-12,4.3
2023-03-13,4.5
2023-03-14,1.7
2023-03-15,2.5
2023-03-16,4.9
2023-03-17,8.2
2023-03-18,8.9
2023-03-19,2.5
2023-03-20,4.8
2023-03-21,9.7
2023-03-22,9.8
2023-03-23,10.9
2023-03-24,9.2
2023-03-25,6.2
2023-03-26,10.9
2023-03-27,9.7
2023-03-28,8.1
2023-03-29,7.6
2023-03-30,4.7
2023-03-31,7.5
2023-04-01,14.6
2023-04-02,8.5
2023-04-03,9.0
2023-04-04,14.5
2023-04-05,10.1
2023-04-06,15.6
2023-04-07,11.4
2023-04-08,6.4
2023-04-09,7.5
2023-04-10,10.6
2023-04-11,15.6
2023-04-12,20.9
2023-04-13,21.1
2023-04-14,20.9
2023-04-15,16.1
